filename,donor_id,well_id,file_type,relative_path,target
20240807 Activated PBMC Tiling D004_Experiment_Samples_A1.fcs,D004,A1,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_A1.fcs,CXCR4
20240807 Activated PBMC Tiling D004_Experiment_Samples_A2.fcs,D004,A2,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_A2.fcs,CCR9
20240807 Activated PBMC Tiling D004_Experiment_Samples_A3.fcs,D004,A3,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_A3.fcs,TIGIT
20240807 Activated PBMC Tiling D004_Experiment_Samples_A4.fcs,D004,A4,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_A4.fcs,CD73
20240807 Activated PBMC Tiling D004_Experiment_Samples_A5.fcs,D004,A5,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_A5.fcs,KLRG1
20240807 Activated PBMC Tiling D004_Experiment_Samples_A6.fcs,D004,A6,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_A6.fcs,CD25
20240807 Activated PBMC Tiling D004_Experiment_Samples_A7.fcs,D004,A7,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_A7.fcs,CD96
20240807 Activated PBMC Tiling D004_Experiment_Samples_A8.fcs,D004,A8,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_A8.fcs,CD40L
20240807 Activated PBMC Tiling D004_Experiment_Samples_B1.fcs,D004,B1,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_B1.fcs,CD200
20240807 Activated PBMC Tiling D004_Experiment_Samples_B2.fcs,D004,B2,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_B2.fcs,ITGB1
20240807 Activated PBMC Tiling D004_Experiment_Samples_B3.fcs,D004,B3,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_B3.fcs,GPR183
20240807 Activated PBMC Tiling D004_Experiment_Samples_B4.fcs,D004,B4,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_B4.fcs,CD45RO
20240807 Activated PBMC Tiling D004_Experiment_Samples_B5.fcs,D004,B5,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_B5.fcs,LAG3
20240807 Activated PBMC Tiling D004_Experiment_Samples_B6.fcs,D004,B6,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_B6.fcs,SLAMF6
20240807 Activated PBMC Tiling D004_Experiment_Samples_B7.fcs,D004,B7,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_B7.fcs,CXCR6
20240807 Activated PBMC Tiling D004_Experiment_Samples_B8.fcs,D004,B8,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_B8.fcs,Mouse IgG1 isotype CTRL
20240807 Activated PBMC Tiling D004_Experiment_Samples_C1.fcs,D004,C1,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_C1.fcs,IL12RB2
20240807 Activated PBMC Tiling D004_Experiment_Samples_C2.fcs,D004,C2,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_C2.fcs,TNFRSF4
20240807 Activated PBMC Tiling D004_Experiment_Samples_C3.fcs,D004,C3,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_C3.fcs,CD7
20240807 Activated PBMC Tiling D004_Experiment_Samples_C4.fcs,D004,C4,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_C4.fcs,BTLA
20240807 Activated PBMC Tiling D004_Experiment_Samples_C5.fcs,D004,C5,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_C5.fcs,CD30L
20240807 Activated PBMC Tiling D004_Experiment_Samples_C6.fcs,D004,C6,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_C6.fcs,IL18R1
20240807 Activated PBMC Tiling D004_Experiment_Samples_C7.fcs,D004,C7,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_C7.fcs,CD294
20240807 Activated PBMC Tiling D004_Experiment_Samples_C8.fcs,D004,C8,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_C8.fcs,Rat IgG2a isotype CTRL
20240807 Activated PBMC Tiling D004_Experiment_Samples_D1.fcs,D004,D1,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_D1.fcs,TNFSF4
20240807 Activated PBMC Tiling D004_Experiment_Samples_D2.fcs,D004,D2,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_D2.fcs,IL2RG
20240807 Activated PBMC Tiling D004_Experiment_Samples_D3.fcs,D004,D3,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_D3.fcs,IL21R
20240807 Activated PBMC Tiling D004_Experiment_Samples_D4.fcs,D004,D4,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_D4.fcs,CD53
20240807 Activated PBMC Tiling D004_Experiment_Samples_D5.fcs,D004,D5,sample,data/raw/D004/20240807 Activated PBMC Tiling D004_Experiment_Samples_D5.fcs,CTLA4
