well_id,row,column,target,is_isotype_control
A1,A,1,CXCR4,False
A2,A,2,CCR9,False
A3,A,3,TIGIT,False
A4,A,4,CD73,False
A5,A,5,KLRG1,False
A6,A,6,CD25,False
A7,A,7,CD96,False
A8,A,8,CD40L,False
B1,B,1,CD200,False
B2,B,2,ITGB1,False
B3,B,3,GPR183,False
B4,B,4,CD45RO,False
B5,B,5,LAG3,False
B6,B,6,SLAMF6,False
B7,B,7,CXCR6,False
B8,B,8,Mouse IgG1 isotype CTRL,True
C1,C,1,IL12RB2,False
C2,C,2,TNFRSF4,False
C3,C,3,CD7,False
C4,C,4,BTLA,False
C5,C,5,CD30L,False
C6,C,6,IL18R1,False
C7,C,7,CD294,False
C8,C,8,Rat IgG2a isotype CTRL,True
D1,D,1,TNFSF4,False
D2,D,2,IL2RG,False
D3,D,3,IL21R,False
D4,D,4,CD53,False
D5,D,5,CTLA4,False
D6,D,6,CRTAM,False
D7,D,7,FASL,False
D8,D,8,Mouse IgG2a isotype CTRL,True
E1,E,1,CD44,False
E2,E,2,IL10RB,False
E3,E,3,IL7R,False
E4,E,4,CD22,False
E5,E,5,IL10RA,False
E6,E,6,PD1,False
E7,E,7,CD9,False
E8,E,8,Mouse IgG2b Isotype CTRL,True
F1,F,1,CD38,False
F2,F,2,CCR6,False
F3,F,3,TIM3,False
F4,F,4,CD39,False
F5,F,5,RANKL,False
F6,F,6,CD162,False
F7,F,7,SLAMF1,False
F8,F,8,IL1R3,False
G1,G,1,CD62L,False
G2,G,2,CXCR5,False
G3,G,3,CXCR3,False
G4,G,4,ST2,False
G5,G,5,CD27,False
G6,G,6,CD200R,False
G7,G,7,CD83,False
G8,G,8,Rat IgG2b Isotype CTRL,True
H1,H,1,CD28,False
H2,H,2,IL2RB,False
H3,H,3,CD69,False
H4,H,4,ICOS,False
H5,H,5,ITGAE,False
H6,H,6,CD45Ra,False
H7,H,7,IL15RA,False
H8,H,8,Armenian Hamster Isotype CTRL,True
